Dataset,Method,Model,Accuracy,STD
FOLIO,COT,Llama 2 13B Chat,0.47140000000000004,0.0050408332644514145
FOLIO,COT,Llama 2 7B Chat,0.10880000000000001,0.005872393038617223
FOLIO,COT,Llama 3.1 8B Instruct,0.5978,0.0036482872693909397
FOLIO,COT,Llama 3.2 1B Instruct,0.18570000000000003,0.007660613552451266
FOLIO,COT,Llama 3.2 3B Instruct,0.47691999999999996,0.00925156203027359
FOLIO,LINC,Llama 2 13B Chat,0.3088,0.0026944387170614913
FOLIO,LINC,Llama 2 7B Chat,0.21760000000000002,0.007500999933342216
FOLIO,LINC,Llama 3.1 8B Instruct,0.6187,0.00789398505192402
FOLIO,LINC,Llama 3.2 1B Instruct,0.178,0.0032999999999999974
FOLIO,LINC,Llama 3.2 3B Instruct,0.33297999999999994,0.00662747312329518
FOLIO,Naive,Llama 2 13B Chat,0.1769,0.004041658075592241
FOLIO,Naive,Llama 2 7B Chat,0.40108000000000005,0.01780506669462376
FOLIO,Naive,Llama 3.1 8B Instruct,0.5011,0.009746024830668141
FOLIO,Naive,Llama 3.2 1B Instruct,0.33297999999999994,0.0163536968297691
FOLIO,Naive,Llama 3.2 3B Instruct,0.45161999999999997,0.00531595711043647
ProofWriter,COT,Llama 2 13B Chat,0.31536,0.02008381437874788
ProofWriter,COT,Llama 2 7B Chat,0.0824,0.0062709648380452595
ProofWriter,COT,Llama 3.1 8B Instruct,0.46154,0.012031649928417964
ProofWriter,COT,Llama 3.2 1B Instruct,0.15604,0.012352392480811155
ProofWriter,COT,Llama 3.2 3B Instruct,0.24175999999999997,0.014215153885906403
ProofWriter,LINC,Llama 2 13B Chat,0.4286,0.0067360967926537365
ProofWriter,LINC,Llama 2 7B Chat,0.3209,0.007500999933342218
ProofWriter,LINC,Llama 3.1 8B Instruct,0.8769,0.0028044607324760385
ProofWriter,LINC,Llama 3.2 1B Instruct,0.23406000000000002,0.01578311122687792
ProofWriter,LINC,Llama 3.2 3B Instruct,0.3912,0.006366710296534629
ProofWriter,Naive,Llama 2 13B Chat,0.3802,0.006366710296534629
ProofWriter,Naive,Llama 2 7B Chat,0.34286,0.01635235762818316
ProofWriter,Naive,Llama 3.1 8B Instruct,0.37799999999999995,0.008765557597780074
ProofWriter,Naive,Llama 3.2 1B Instruct,0.2692,0.0075812268136496285
ProofWriter,Naive,Llama 3.2 3B Instruct,0.3066,0.012945462525533804
